comName,State Status,Abundance,Sort as,atlasUrl
Black-bellied Whistling-Duck,,Occasional,,
West Indian Whistling-Duck,3a,Accidental,,
Fulvous Whistling-Duck,,Accidental,,
Snow Goose,,,,
Snow Goose (Lesser),,,,
Snow Goose (Greater),,,,
Ross's Goose,,,,
Greater White-fronted Goose,,,,
Pink-footed Goose,,Accidental,,
Brant,,,,
Barnacle Goose,3a,Accidental,,
Cackling Goose,,,,
Canada Goose,,,,https://vabirdatlas.org/species-account/canada-goose/
Mute Swan,5,,,https://vabirdatlas.org/species-account/mute-swan/
Trumpeter Swan,,,,https://vabirdatlas.org/species-account/trumpeter-swan/
Tundra Swan,,,,
Wood Duck,,,,https://vabirdatlas.org/species-account/wood-duck/
Garganey,,Accidental,,
Blue-winged Teal,,,,
Cinnamon Teal,,Accidental,,
Northern Shoveler,,,,
Gadwall,,,,https://vabirdatlas.org/species-account/gadwall/
Eurasian Wigeon,,Occasional,,
American Wigeon,,,,
Mallard,,,,https://vabirdatlas.org/species-account/mallard/
American Black Duck,,,,https://vabirdatlas.org/species-account/american-black-duck/
Mottled Duck,,Rare,,
White-cheeked Pintail,,Accidental,,
Northern Pintail,,,,
Green-winged Teal,,,,
Green-winged Teal (American),,,,
Green-winged Teal (Eurasian),,Rare,,
Canvasback,,,,
Redhead,,,,
Ring-necked Duck,,,,
Tufted Duck,,Accidental,,
Greater Scaup,,,,
Lesser Scaup,,,,
King Eider,,Rare,,
Common Eider,,Occasional,,
Harlequin Duck,,Occasional,,
Surf Scoter,,,,
White-winged Scoter,,,,
Black Scoter,,,,
Long-tailed Duck,,,,
Bufflehead,,,,
Common Goldeneye,,,,
Barrow's Goldeneye,2,Accidental,,
Hooded Merganser,,,,https://vabirdatlas.org/species-account/hooded-merganser/
Common Merganser,,,,https://vabirdatlas.org/species-account/common-merganser/
Red-breasted Merganser,,,,
Ruddy Duck,,,,
Northern Bobwhite,,,,https://vabirdatlas.org/species-account/northern-bobwhite/
Wild Turkey,,,,https://vabirdatlas.org/species-account/wild-turkey/
Ruffed Grouse,,,,https://vabirdatlas.org/species-account/ruffed-grouse/
Ring-necked Pheasant,6,,,
American Flamingo,,Accidental,,
Pied-billed Grebe,,,,https://vabirdatlas.org/species-account/pied-billed-grebe/
Horned Grebe,,,,
Red-necked Grebe,,,,
Eared Grebe,,Occasional,,
Western Grebe,,Rare,,
Clark's Grebe,,Accidental,,
Common Ground Dove,,Rare,,
White-winged Dove,,Occasional,,
Mourning Dove,,,,https://vabirdatlas.org/species-account/mourning-dove/
White-crowned Pigeon,,Accidental,,
Eurasian Collared-Dove,5,,,https://vabirdatlas.org/species-account/eurasian-collared-dove/
Rock Pigeon,5,,,https://vabirdatlas.org/species-account/rock-pigeon/
Groove-billed Ani,,Accidental,,
Yellow-billed Cuckoo,,,,https://vabirdatlas.org/species-account/yellow-billed-cuckoo/
Black-billed Cuckoo,,,,https://vabirdatlas.org/species-account/black-billed-cuckoo/
Common Nighthawk,,,,https://vabirdatlas.org/species-account/common-nighthawk/
Chuck-will's-widow,,,,https://vabirdatlas.org/species-account/chuck-wills-widow/
Eastern Whip-poor-will,,,,https://vabirdatlas.org/species-account/eastern-whip-poor-will/
Chimney Swift,,,,https://vabirdatlas.org/species-account/chimney-swift/
Mexican Violetear,,Accidental,,
Rivoli's Hummingbird,,Accidental,,
Ruby-throated Hummingbird,,,,https://vabirdatlas.org/species-account/ruby-throated-hummingbird/
Black-chinned Hummingbird,,Rare,,
Anna's Hummingbird,,Accidental,,
Calliope Hummingbird,,Accidental,,
Rufous Hummingbird,,Occasional,,
Allen's Hummingbird,,Accidental,,
Violet-crowned Hummingbird,,Accidental,,
Buff-bellied Hummingbird,,Accidental,,
Limpkin,,Rare,,
Sandhill Crane,,Occasional,,
Paint-billed Crake,,Accidental,,
King Rail,,,,https://vabirdatlas.org/species-account/king-rail/
Clapper Rail,,,,https://vabirdatlas.org/species-account/clapper-rail/
Virginia Rail,,,,https://vabirdatlas.org/species-account/virginia-rail/
Sora,,,,https://vabirdatlas.org/species-account/sora/
Common Gallinule,,,,https://vabirdatlas.org/species-account/common-gallinule/
American Coot,,,,https://vabirdatlas.org/species-account/american-coot/
Purple Gallinule,,Rare,,
Yellow Rail,,Rare,,
Black Rail,,Rare,,https://vabirdatlas.org/species-account/black-rail/
Black-necked Stilt,,,,https://vabirdatlas.org/species-account/black-necked-stilt/
American Avocet,,,,
American Oystercatcher,,,,https://vabirdatlas.org/species-account/american-oystercatcher/
Black-bellied Plover,,,,
American Golden-Plover,,,,
Killdeer,,,,https://vabirdatlas.org/species-account/killdeer/
Semipalmated Plover,,,,
Piping Plover,,,,https://vabirdatlas.org/species-account/piping-plover/
Northern Lapwing,,Accidental,,
sand-plover sp.,,Accidental,Siberian Sand-Plover,
Wilson's Plover,,Rare,,https://vabirdatlas.org/species-account/wilsons-plover/
Mountain Plover,,Accidental,,
Snowy Plover,,Accidental,,
Upland Sandpiper,,Occasional,,
Hudsonian Whimbrel,,,,
Eurasian Whimbrel,,Accidental,,
Long-billed Curlew,,Occasional,,
Bar-tailed Godwit,,Accidental,,
Bar-tailed Godwit (European),,Accidental,,
Bar-tailed Godwit (Siberian),,Accidental,,
Black-tailed Godwit,,Accidental,,
Hudsonian Godwit,,,,
Marbled Godwit,,,,
Ruddy Turnstone,,,,
Red Knot,,,,
Ruff,,Rare,,
Sharp-tailed Sandpiper,,Accidental,,
Stilt Sandpiper,,,,
Curlew Sandpiper,,Rare,,
Red-necked Stint,2,Accidental,,
Sanderling,,,,
Dunlin,,,,
Purple Sandpiper,,,,
Baird's Sandpiper,,Occasional,,
Least Sandpiper,,,,
White-rumped Sandpiper,,,,
Buff-breasted Sandpiper,,Occasional,,
Pectoral Sandpiper,,,,
Semipalmated Sandpiper,,,,
Western Sandpiper,,,,
Short-billed Dowitcher,,,,
Short-billed Dowitcher (griseus),,,,
Short-billed Dowitcher (hendersoni),,,,
Long-billed Dowitcher,,,,
Eurasian Woodcock,,Accidental,,
American Woodcock,,,,https://vabirdatlas.org/species-account/american-woodcock/
Wilson's Snipe,,,,
Terek Sandpiper,,Accidental,,
Spotted Sandpiper,,,,https://vabirdatlas.org/species-account/spotted-sandpiper/
Solitary Sandpiper,,,,
Lesser Yellowlegs,,,,
Willet,,,,https://vabirdatlas.org/species-account/willet/
Willet (Eastern),,,,
Willet (Western),,,,
Greater Yellowlegs,,,,
Wilson's Phalarope,,Occasional,,
Red-necked Phalarope,,Occasional,,
Red Phalarope,,Pelagic,,
Great Skua,,Rare,,
South Polar Skua,,Accidental,,
Pomarine Jaeger,,Pelagic,,
Parasitic Jaeger,,,,
Long-tailed Jaeger,,Pelagic,,
Dovekie,,Pelagic,,
Common Murre,,Rare,,
Thick-billed Murre,,Rare,,
Razorbill,,,,
Black Guillemot,2,Accidental,,
Ancient Murrelet,2,Accidental,,
Atlantic Puffin,,Pelagic,,
Brown Noddy,2,Accidental,,
